feature,iv,interpretation
borrower_credit_score,0.6007594960531251,Suspicious
fico_x_unemployment,0.5763666516769396,Suspicious
original_ltv,0.19796864988289928,Medium
original_cltv,0.16766348711488732,Medium
original_interest_rate,0.14841001962945355,Medium
dti,0.12716730711015675,Medium
original_loan_term,0.11354650604774658,Medium
has_mortgage_insurance,0.056652921606048984,Weak
is_cashout_refi,0.03628379685550453,Weak
has_coborrower,0.03568174095128774,Weak
hpi_national,0.019638290869444106,Not useful
fed_funds_rate,0.019574877577671713,Not useful
gdp_growth_pct,0.018029951186901448,Not useful
